student_id,placed,package_lpa,role_type,company_type
70,1,5.68,Data Analyst,Product
71,0,0.0,Not Placed,Not Placed
72,0,0.0,Not Placed,Not Placed
73,1,6.23,Consulting,Product
74,1,4.46,Software Engineer,Core
75,1,3.1,Core Engineering,Core
76,1,6.96,Core Engineering,Consulting
77,1,6.39,Software Engineer,Service
78,1,5.54,Core Engineering,Service
79,0,0.0,Not Placed,Not Placed
80,1,6.43,Business Analyst,Service
81,1,7.09,Core Engineering,Startup
82,0,0.0,Not Placed,Not Placed
83,0,0.0,Not Placed,Not Placed
84,1,6.07,Consulting,Service
85,1,6.42,Consulting,Core
86,0,0.0,Not Placed,Not Placed
87,0,0.0,Not Placed,Not Placed
88,0,0.0,Not Placed,Not Placed
89,0,0.0,Not Placed,Not Placed
90,0,0.0,Not Placed,Not Placed
91,0,0.0,Not Placed,Not Placed
92,1,6.48,Core Engineering,Service
93,0,0.0,Not Placed,Not Placed
94,1,5.07,Software Engineer,Core
95,0,0.0,Not Placed,Not Placed
96,1,4.06,Data Analyst,Service
97,1,3.46,Data Analyst,Product
98,0,0.0,Not Placed,Not Placed
99,1,6.55,Software Engineer,Service
100,0,0.0,Not Placed,Not Placed
101,0,0.0,Not Placed,Not Placed
102,1,5.77,Product Analyst,Consulting
103,0,0.0,Not Placed,Not Placed
104,1,6.45,Consulting,Service
105,0,0.0,Not Placed,Not Placed
106,1,7.13,Consulting,Core
107,0,0.0,Not Placed,Not Placed
108,0,0.0,Not Placed,Not Placed
109,1,5.22,Core Engineering,Service
110,0,0.0,Not Placed,Not Placed
111,1,4.18,Business Analyst,Startup
112,1,5.98,Software Engineer,Core
113,0,0.0,Not Placed,Not Placed
114,1,4.37,Product Analyst,Service
115,0,0.0,Not Placed,Not Placed
116,0,0.0,Not Placed,Not Placed
117,1,7.69,Consulting,Service
118,1,5.36,Consulting,Service
119,0,0.0,Not Placed,Not Placed
120,1,7.84,Data Analyst,Consulting
121,0,0.0,Not Placed,Not Placed
122,0,0.0,Not Placed,Not Placed
123,1,5.15,Product Analyst,Consulting
124,1,5.68,Business Analyst,Service
125,1,6.32,Data Analyst,Consulting
126,0,0.0,Not Placed,Not Placed
127,0,0.0,Not Placed,Not Placed
128,0,0.0,Not Placed,Not Placed
129,1,6.87,Core Engineering,Core
130,1,7.2,Business Analyst,Product
131,1,6.25,Software Engineer,Core
132,1,7.52,Data Analyst,Product
133,0,0.0,Not Placed,Not Placed
134,0,0.0,Not Placed,Not Placed
135,1,6.07,Business Analyst,Service
136,1,6.06,Consulting,Startup
137,0,0.0,Not Placed,Not Placed
138,0,0.0,Not Placed,Not Placed
139,0,0.0,Not Placed,Not Placed
140,0,0.0,Not Placed,Not Placed
141,1,4.16,Software Engineer,Service
142,1,5.34,Business Analyst,Service
143,0,0.0,Not Placed,Not Placed
144,1,8.61,Data Analyst,Service
145,0,0.0,Not Placed,Not Placed
146,0,0.0,Not Placed,Not Placed
147,0,0.0,Not Placed,Not Placed
148,1,9.3,Core Engineering,Service
149,0,0.0,Not Placed,Not Placed
150,0,0.0,Not Placed,Not Placed
151,1,5.21,Consulting,Consulting
152,1,5.54,Product Analyst,Consulting
153,1,7.24,Data Analyst,Core
154,1,7.1,Software Engineer,Service
155,1,7.36,Data Analyst,Startup
156,0,0.0,Not Placed,Not Placed
157,0,0.0,Not Placed,Not Placed
158,1,5.53,Software Engineer,Service
159,1,7.51,Business Analyst,Consulting
160,1,5.83,Data Analyst,Consulting
161,1,3.6,Software Engineer,Consulting
162,1,4.87,Software Engineer,Core
163,0,0.0,Not Placed,Not Placed
164,0,0.0,Not Placed,Not Placed
165,1,7.27,Core Engineering,Service
166,0,0.0,Not Placed,Not Placed
167,0,0.0,Not Placed,Not Placed
168,0,0.0,Not Placed,Not Placed
169,0,0.0,Not Placed,Not Placed
170,0,0.0,Not Placed,Not Placed
171,1,5.79,Software Engineer,Product
172,0,0.0,Not Placed,Not Placed
173,0,0.0,Not Placed,Not Placed
174,1,7.91,Consulting,Product
175,1,6.44,Core Engineering,Product
176,1,3.86,Product Analyst,Consulting
177,0,0.0,Not Placed,Not Placed
178,0,0.0,Not Placed,Not Placed
179,1,4.03,Business Analyst,Product
180,1,5.35,Software Engineer,Service
181,1,7.19,Product Analyst,Startup
182,0,0.0,Not Placed,Not Placed
183,1,6.96,Core Engineering,Startup
184,1,4.75,Software Engineer,Service
185,0,0.0,Not Placed,Not Placed
186,1,3.0,Data Analyst,Core
187,1,5.65,Business Analyst,Product
188,1,4.86,Business Analyst,Consulting
189,0,0.0,Not Placed,Not Placed
190,0,0.0,Not Placed,Not Placed
191,0,0.0,Not Placed,Not Placed
192,0,0.0,Not Placed,Not Placed
193,0,0.0,Not Placed,Not Placed
194,0,0.0,Not Placed,Not Placed
195,0,0.0,Not Placed,Not Placed
196,0,0.0,Not Placed,Not Placed
197,1,5.43,Software Engineer,Product
198,0,0.0,Not Placed,Not Placed
199,1,4.92,Core Engineering,Service
200,1,7.64,Software Engineer,Startup
201,1,9.83,Consulting,Startup
202,1,5.76,Core Engineering,Service
203,0,0.0,Not Placed,Not Placed
204,0,0.0,Not Placed,Not Placed
205,1,7.82,Product Analyst,Product
206,1,5.62,Product Analyst,Consulting
207,0,0.0,Not Placed,Not Placed
208,0,0.0,Not Placed,Not Placed
209,1,5.41,Software Engineer,Product
210,0,0.0,Not Placed,Not Placed
211,1,5.75,Core Engineering,Service
212,1,6.18,Core Engineering,Service
213,1,6.27,Business Analyst,Service
214,0,0.0,Not Placed,Not Placed
215,0,0.0,Not Placed,Not Placed
216,0,0.0,Not Placed,Not Placed
217,0,0.0,Not Placed,Not Placed
218,0,0.0,Not Placed,Not Placed
219,0,0.0,Not Placed,Not Placed
220,0,0.0,Not Placed,Not Placed
221,0,0.0,Not Placed,Not Placed
222,0,0.0,Not Placed,Not Placed
223,0,0.0,Not Placed,Not Placed
224,1,3.66,Business Analyst,Product
225,0,0.0,Not Placed,Not Placed
226,0,0.0,Not Placed,Not Placed
227,1,6.32,Software Engineer,Product
228,1,7.63,Product Analyst,Service
229,0,0.0,Not Placed,Not Placed
230,0,0.0,Not Placed,Not Placed
231,1,6.43,Product Analyst,Product
232,0,0.0,Not Placed,Not Placed
233,1,6.92,Consulting,Core
234,0,0.0,Not Placed,Not Placed
235,0,0.0,Not Placed,Not Placed
236,1,5.29,Product Analyst,Startup
237,0,0.0,Not Placed,Not Placed
238,1,3.75,Consulting,Consulting
239,0,0.0,Not Placed,Not Placed
240,1,7.74,Data Analyst,Service
241,1,5.51,Business Analyst,Product
242,0,0.0,Not Placed,Not Placed
243,0,0.0,Not Placed,Not Placed
244,0,0.0,Not Placed,Not Placed
245,0,0.0,Not Placed,Not Placed
246,0,0.0,Not Placed,Not Placed
247,1,6.59,Software Engineer,Product
248,1,7.27,Data Analyst,Consulting
249,1,4.62,Product Analyst,Product
250,0,0.0,Not Placed,Not Placed
251,1,4.14,Business Analyst,Startup
252,0,0.0,Not Placed,Not Placed
253,0,0.0,Not Placed,Not Placed
254,1,6.31,Core Engineering,Core
255,0,0.0,Not Placed,Not Placed
256,1,8.61,Business Analyst,Service
257,1,6.05,Business Analyst,Service
258,0,0.0,Not Placed,Not Placed
259,0,0.0,Not Placed,Not Placed
260,1,6.16,Core Engineering,Consulting
261,1,3.89,Software Engineer,Consulting
262,0,0.0,Not Placed,Not Placed
263,0,0.0,Not Placed,Not Placed
264,0,0.0,Not Placed,Not Placed
265,0,0.0,Not Placed,Not Placed
266,1,5.12,Data Analyst,Product
267,1,6.3,Product Analyst,Service
268,1,8.74,Core Engineering,Startup
269,0,0.0,Not Placed,Not Placed
270,0,0.0,Not Placed,Not Placed
271,1,7.67,Consulting,Startup
272,1,5.99,Product Analyst,Service
273,1,5.5,Product Analyst,Service
274,0,0.0,Not Placed,Not Placed
275,1,4.18,Business Analyst,Consulting
276,0,0.0,Not Placed,Not Placed
277,0,0.0,Not Placed,Not Placed
278,0,0.0,Not Placed,Not Placed
279,1,6.96,Core Engineering,Product
280,0,0.0,Not Placed,Not Placed
281,1,3.79,Core Engineering,Product
282,0,0.0,Not Placed,Not Placed
283,1,5.23,Data Analyst,Consulting
284,1,6.76,Core Engineering,Service
285,0,0.0,Not Placed,Not Placed
286,0,0.0,Not Placed,Not Placed
287,0,0.0,Not Placed,Not Placed
288,1,6.76,Data Analyst,Core
289,0,0.0,Not Placed,Not Placed
290,0,0.0,Not Placed,Not Placed
291,1,7.11,Core Engineering,Service
292,1,8.3,Software Engineer,Product
293,0,0.0,Not Placed,Not Placed
294,0,0.0,Not Placed,Not Placed
295,0,0.0,Not Placed,Not Placed
296,0,0.0,Not Placed,Not Placed
297,1,3.25,Core Engineering,Service
298,0,0.0,Not Placed,Not Placed
299,0,0.0,Not Placed,Not Placed
300,1,6.2,Software Engineer,Service
301,0,0.0,Not Placed,Not Placed
302,0,0.0,Not Placed,Not Placed
303,1,5.04,Software Engineer,Service
304,1,4.9,Core Engineering,Service
305,1,3.99,Business Analyst,Service
306,1,8.87,Data Analyst,Service
307,0,0.0,Not Placed,Not Placed
308,1,5.19,Software Engineer,Core
309,0,0.0,Not Placed,Not Placed
310,0,0.0,Not Placed,Not Placed
311,1,3.68,Software Engineer,Service
312,0,0.0,Not Placed,Not Placed
313,1,3.0,Data Analyst,Consulting
314,0,0.0,Not Placed,Not Placed
315,0,0.0,Not Placed,Not Placed
316,0,0.0,Not Placed,Not Placed
317,0,0.0,Not Placed,Not Placed
318,0,0.0,Not Placed,Not Placed
319,0,0.0,Not Placed,Not Placed
320,0,0.0,Not Placed,Not Placed
321,1,3.88,Business Analyst,Service
322,0,0.0,Not Placed,Not Placed
323,1,6.42,Business Analyst,Core
324,1,11.23,Consulting,Consulting
325,0,0.0,Not Placed,Not Placed
326,1,5.54,Business Analyst,Startup
327,0,0.0,Not Placed,Not Placed
328,1,6.5,Consulting,Consulting
329,0,0.0,Not Placed,Not Placed
330,0,0.0,Not Placed,Not Placed
331,1,4.47,Business Analyst,Product
332,0,0.0,Not Placed,Not Placed
333,1,6.05,Consulting,Core
334,0,0.0,Not Placed,Not Placed
335,0,0.0,Not Placed,Not Placed
336,0,0.0,Not Placed,Not Placed
337,1,11.34,Data Analyst,Service
338,1,7.55,Business Analyst,Service
339,0,0.0,Not Placed,Not Placed
340,0,0.0,Not Placed,Not Placed
341,1,7.58,Product Analyst,Core
342,1,6.81,Product Analyst,Service
343,0,0.0,Not Placed,Not Placed
344,1,4.85,Product Analyst,Service
345,0,0.0,Not Placed,Not Placed
346,0,0.0,Not Placed,Not Placed
347,1,3.51,Business Analyst,Startup
348,0,0.0,Not Placed,Not Placed
349,0,0.0,Not Placed,Not Placed
350,0,0.0,Not Placed,Not Placed
351,0,0.0,Not Placed,Not Placed
352,0,0.0,Not Placed,Not Placed
353,0,0.0,Not Placed,Not Placed
354,0,0.0,Not Placed,Not Placed
355,0,0.0,Not Placed,Not Placed
356,0,0.0,Not Placed,Not Placed
357,1,4.15,Data Analyst,Core
358,1,5.69,Software Engineer,Consulting
359,0,0.0,Not Placed,Not Placed
360,1,6.38,Data Analyst,Service
361,0,0.0,Not Placed,Not Placed
362,1,5.45,Consulting,Core
363,0,0.0,Not Placed,Not Placed
364,1,5.17,Software Engineer,Service
365,1,7.47,Data Analyst,Service
366,1,7.04,Business Analyst,Consulting
367,1,9.43,Product Analyst,Service
368,0,0.0,Not Placed,Not Placed
369,1,5.92,Consulting,Service
370,1,5.55,Product Analyst,Core
371,0,0.0,Not Placed,Not Placed
372,0,0.0,Not Placed,Not Placed
373,0,0.0,Not Placed,Not Placed
374,1,7.49,Business Analyst,Service
375,0,0.0,Not Placed,Not Placed
376,1,5.17,Core Engineering,Product
377,0,0.0,Not Placed,Not Placed
378,1,5.06,Product Analyst,Product
379,0,0.0,Not Placed,Not Placed
380,0,0.0,Not Placed,Not Placed
381,1,6.87,Product Analyst,Product
382,1,4.52,Software Engineer,Product
383,1,7.95,Software Engineer,Product
384,0,0.0,Not Placed,Not Placed
385,0,0.0,Not Placed,Not Placed
386,1,4.39,Core Engineering,Consulting
387,1,5.04,Core Engineering,Service
388,1,5.06,Software Engineer,Startup
389,0,0.0,Not Placed,Not Placed
390,1,6.89,Software Engineer,Service
391,1,7.02,Core Engineering,Consulting
392,1,7.37,Consulting,Core
393,1,9.06,Product Analyst,Service
394,1,7.14,Consulting,Service
395,1,8.99,Product Analyst,Consulting
396,0,0.0,Not Placed,Not Placed
397,0,0.0,Not Placed,Not Placed
398,0,0.0,Not Placed,Not Placed
399,0,0.0,Not Placed,Not Placed
400,1,6.87,Core Engineering,Service
401,1,6.49,Business Analyst,Service
402,1,7.08,Product Analyst,Consulting
403,0,0.0,Not Placed,Not Placed
404,1,6.45,Software Engineer,Startup
405,0,0.0,Not Placed,Not Placed
406,0,0.0,Not Placed,Not Placed
407,0,0.0,Not Placed,Not Placed
408,0,0.0,Not Placed,Not Placed
409,1,5.15,Consulting,Product
410,1,6.8,Product Analyst,Product
411,1,5.79,Software Engineer,Startup
412,0,0.0,Not Placed,Not Placed
413,1,5.9,Software Engineer,Core
414,1,7.68,Business Analyst,Service
415,0,0.0,Not Placed,Not Placed
416,0,0.0,Not Placed,Not Placed
417,1,6.76,Core Engineering,Service
418,1,4.54,Core Engineering,Consulting
419,0,0.0,Not Placed,Not Placed
420,1,6.78,Business Analyst,Startup
421,1,7.85,Data Analyst,Service
422,1,3.0,Data Analyst,Service
423,1,7.38,Core Engineering,Consulting
424,1,6.78,Core Engineering,Service
425,0,0.0,Not Placed,Not Placed
426,1,7.71,Consulting,Startup
427,1,5.19,Business Analyst,Service
428,0,0.0,Not Placed,Not Placed
429,0,0.0,Not Placed,Not Placed
430,0,0.0,Not Placed,Not Placed
431,0,0.0,Not Placed,Not Placed
432,1,5.43,Data Analyst,Consulting
433,0,0.0,Not Placed,Not Placed
434,0,0.0,Not Placed,Not Placed
435,0,0.0,Not Placed,Not Placed
436,1,4.22,Product Analyst,Core
437,0,0.0,Not Placed,Not Placed
438,0,0.0,Not Placed,Not Placed
439,1,7.22,Consulting,Service
440,0,0.0,Not Placed,Not Placed
441,1,7.92,Software Engineer,Core
442,0,0.0,Not Placed,Not Placed
443,0,0.0,Not Placed,Not Placed
444,1,3.18,Data Analyst,Product
445,0,0.0,Not Placed,Not Placed
446,0,0.0,Not Placed,Not Placed
447,0,0.0,Not Placed,Not Placed
448,1,5.29,Business Analyst,Product
449,0,0.0,Not Placed,Not Placed
450,1,6.48,Data Analyst,Service
451,0,0.0,Not Placed,Not Placed
452,0,0.0,Not Placed,Not Placed
453,1,4.69,Consulting,Consulting
454,0,0.0,Not Placed,Not Placed
455,1,5.22,Software Engineer,Consulting
456,1,4.98,Business Analyst,Consulting
457,1,4.56,Core Engineering,Consulting
458,0,0.0,Not Placed,Not Placed
459,0,0.0,Not Placed,Not Placed
460,0,0.0,Not Placed,Not Placed
461,1,7.37,Business Analyst,Service
462,0,0.0,Not Placed,Not Placed
463,0,0.0,Not Placed,Not Placed
464,1,8.82,Product Analyst,Core
465,1,6.73,Software Engineer,Core
466,0,0.0,Not Placed,Not Placed
467,0,0.0,Not Placed,Not Placed
468,1,4.75,Software Engineer,Consulting
469,0,0.0,Not Placed,Not Placed
470,0,0.0,Not Placed,Not Placed
471,1,7.46,Data Analyst,Service
472,1,7.22,Data Analyst,Service
473,0,0.0,Not Placed,Not Placed
474,0,0.0,Not Placed,Not Placed
475,1,8.56,Consulting,Consulting
476,0,0.0,Not Placed,Not Placed
477,0,0.0,Not Placed,Not Placed
478,0,0.0,Not Placed,Not Placed
479,1,6.04,Core Engineering,Consulting
480,0,0.0,Not Placed,Not Placed
481,0,0.0,Not Placed,Not Placed
482,1,6.95,Consulting,Service
483,0,0.0,Not Placed,Not Placed
484,1,6.7,Core Engineering,Service
485,0,0.0,Not Placed,Not Placed
486,1,5.99,Business Analyst,Service
487,1,6.05,Product Analyst,Product
488,1,6.68,Business Analyst,Service
489,0,0.0,Not Placed,Not Placed
490,1,5.0,Product Analyst,Startup
491,0,0.0,Not Placed,Not Placed
492,1,7.66,Data Analyst,Service
493,0,0.0,Not Placed,Not Placed
494,1,5.9,Product Analyst,Service
495,0,0.0,Not Placed,Not Placed
496,1,3.93,Core Engineering,Product
497,1,5.72,Software Engineer,Consulting
498,1,6.14,Core Engineering,Product
499,1,5.49,Business Analyst,Service
500,0,0.0,Not Placed,Not Placed
501,0,0.0,Not Placed,Not Placed
502,0,0.0,Not Placed,Not Placed
503,1,4.45,Consulting,Service
504,0,0.0,Not Placed,Not Placed
505,0,0.0,Not Placed,Not Placed
506,0,0.0,Not Placed,Not Placed
507,1,3.27,Core Engineering,Startup
508,0,0.0,Not Placed,Not Placed
509,1,5.93,Consulting,Consulting
510,0,0.0,Not Placed,Not Placed
511,1,5.45,Business Analyst,Service
512,1,3.45,Product Analyst,Startup
513,0,0.0,Not Placed,Not Placed
514,0,0.0,Not Placed,Not Placed
515,0,0.0,Not Placed,Not Placed
516,1,4.68,Consulting,Service
517,0,0.0,Not Placed,Not Placed
518,0,0.0,Not Placed,Not Placed
519,1,9.14,Software Engineer,Startup
520,1,5.66,Product Analyst,Service
521,0,0.0,Not Placed,Not Placed
522,0,0.0,Not Placed,Not Placed
523,0,0.0,Not Placed,Not Placed
524,0,0.0,Not Placed,Not Placed
525,1,6.14,Consulting,Service
526,1,7.46,Product Analyst,Product
527,1,5.92,Product Analyst,Service
528,1,4.87,Core Engineering,Product
529,1,4.92,Data Analyst,Service
530,1,6.52,Data Analyst,Service
531,1,3.96,Product Analyst,Product
532,0,0.0,Not Placed,Not Placed
533,0,0.0,Not Placed,Not Placed
534,0,0.0,Not Placed,Not Placed
535,0,0.0,Not Placed,Not Placed
536,1,5.8,Data Analyst,Consulting
537,0,0.0,Not Placed,Not Placed
538,0,0.0,Not Placed,Not Placed
539,1,5.65,Business Analyst,Core
540,0,0.0,Not Placed,Not Placed
541,0,0.0,Not Placed,Not Placed
542,0,0.0,Not Placed,Not Placed
543,0,0.0,Not Placed,Not Placed
544,1,6.7,Business Analyst,Consulting
545,0,0.0,Not Placed,Not Placed
546,0,0.0,Not Placed,Not Placed
547,1,7.18,Consulting,Service
548,1,6.3,Core Engineering,Consulting
549,0,0.0,Not Placed,Not Placed
550,1,4.71,Software Engineer,Service
551,0,0.0,Not Placed,Not Placed
552,1,5.56,Data Analyst,Service
553,1,5.08,Software Engineer,Service
554,0,0.0,Not Placed,Not Placed
555,1,5.98,Business Analyst,Service
556,0,0.0,Not Placed,Not Placed
557,1,6.39,Business Analyst,Consulting
558,0,0.0,Not Placed,Not Placed
559,1,7.81,Consulting,Service
560,1,8.18,Consulting,Product
561,0,0.0,Not Placed,Not Placed
562,0,0.0,Not Placed,Not Placed
563,1,8.96,Consulting,Startup
564,1,5.05,Business Analyst,Startup
565,0,0.0,Not Placed,Not Placed
566,0,0.0,Not Placed,Not Placed
567,0,0.0,Not Placed,Not Placed
568,0,0.0,Not Placed,Not Placed
569,1,5.38,Consulting,Service
570,0,0.0,Not Placed,Not Placed
571,1,7.61,Product Analyst,Service
572,0,0.0,Not Placed,Not Placed
573,1,7.48,Data Analyst,Product
574,0,0.0,Not Placed,Not Placed
575,1,5.57,Core Engineering,Service
576,0,0.0,Not Placed,Not Placed
577,1,3.72,Business Analyst,Service
578,0,0.0,Not Placed,Not Placed
579,1,7.2,Business Analyst,Product
580,0,0.0,Not Placed,Not Placed
581,1,3.0,Business Analyst,Product
582,0,0.0,Not Placed,Not Placed
583,1,6.22,Software Engineer,Service
584,0,0.0,Not Placed,Not Placed
585,0,0.0,Not Placed,Not Placed
586,1,5.51,Data Analyst,Consulting
587,1,7.21,Consulting,Service
588,1,5.55,Core Engineering,Product
589,1,7.18,Software Engineer,Product
590,0,0.0,Not Placed,Not Placed
591,1,5.98,Core Engineering,Product
592,0,0.0,Not Placed,Not Placed
593,0,0.0,Not Placed,Not Placed
594,1,4.34,Core Engineering,Service
595,1,7.02,Product Analyst,Product
596,1,6.9,Consulting,Product
597,1,5.23,Product Analyst,Product
598,0,0.0,Not Placed,Not Placed
599,0,0.0,Not Placed,Not Placed
600,0,0.0,Not Placed,Not Placed
601,0,0.0,Not Placed,Not Placed
602,0,0.0,Not Placed,Not Placed
603,1,5.78,Software Engineer,Service
604,0,0.0,Not Placed,Not Placed
605,0,0.0,Not Placed,Not Placed
606,0,0.0,Not Placed,Not Placed
607,0,0.0,Not Placed,Not Placed
608,1,8.2,Software Engineer,Service
609,0,0.0,Not Placed,Not Placed
610,0,0.0,Not Placed,Not Placed
611,0,0.0,Not Placed,Not Placed
612,1,6.7,Product Analyst,Startup
613,1,7.35,Business Analyst,Core
614,1,7.02,Product Analyst,Consulting
615,0,0.0,Not Placed,Not Placed
616,0,0.0,Not Placed,Not Placed
617,0,0.0,Not Placed,Not Placed
618,1,6.07,Data Analyst,Product
619,0,0.0,Not Placed,Not Placed
620,0,0.0,Not Placed,Not Placed
621,1,4.95,Consulting,Service
622,0,0.0,Not Placed,Not Placed
623,1,6.3,Core Engineering,Service
624,1,6.22,Business Analyst,Startup
625,0,0.0,Not Placed,Not Placed
626,0,0.0,Not Placed,Not Placed
627,0,0.0,Not Placed,Not Placed
628,1,5.16,Data Analyst,Startup
629,0,0.0,Not Placed,Not Placed
630,0,0.0,Not Placed,Not Placed
631,0,0.0,Not Placed,Not Placed
632,0,0.0,Not Placed,Not Placed
633,1,5.28,Product Analyst,Core
634,0,0.0,Not Placed,Not Placed
635,0,0.0,Not Placed,Not Placed
636,0,0.0,Not Placed,Not Placed
637,1,6.87,Business Analyst,Service
638,1,4.73,Software Engineer,Service
639,1,5.8,Product Analyst,Service
640,1,7.39,Software Engineer,Product
641,1,6.55,Software Engineer,Consulting
642,1,8.07,Software Engineer,Service
643,1,7.78,Consulting,Core
644,0,0.0,Not Placed,Not Placed
645,1,5.26,Core Engineering,Service
646,0,0.0,Not Placed,Not Placed
647,1,5.33,Data Analyst,Service
648,1,3.06,Consulting,Consulting
649,0,0.0,Not Placed,Not Placed
650,0,0.0,Not Placed,Not Placed
651,0,0.0,Not Placed,Not Placed
652,1,8.75,Consulting,Consulting
653,1,3.65,Core Engineering,Service
654,0,0.0,Not Placed,Not Placed
655,0,0.0,Not Placed,Not Placed
656,0,0.0,Not Placed,Not Placed
657,0,0.0,Not Placed,Not Placed
658,1,10.37,Core Engineering,Service
659,1,7.48,Core Engineering,Startup
660,1,3.45,Software Engineer,Service
661,0,0.0,Not Placed,Not Placed
662,1,5.22,Core Engineering,Startup
663,1,4.51,Data Analyst,Service
664,0,0.0,Not Placed,Not Placed
665,1,6.93,Consulting,Consulting
666,1,6.81,Product Analyst,Startup
667,1,5.58,Data Analyst,Product
668,1,5.32,Product Analyst,Service
669,1,6.29,Product Analyst,Startup
670,1,8.41,Software Engineer,Core
671,0,0.0,Not Placed,Not Placed
672,0,0.0,Not Placed,Not Placed
673,1,6.66,Consulting,Product
674,0,0.0,Not Placed,Not Placed
675,1,6.38,Data Analyst,Service
676,0,0.0,Not Placed,Not Placed
677,0,0.0,Not Placed,Not Placed
678,1,5.63,Consulting,Service
679,0,0.0,Not Placed,Not Placed
680,1,4.35,Business Analyst,Product
681,0,0.0,Not Placed,Not Placed
682,0,0.0,Not Placed,Not Placed
683,1,5.89,Data Analyst,Service
684,0,0.0,Not Placed,Not Placed
685,1,6.03,Software Engineer,Service
686,0,0.0,Not Placed,Not Placed
687,1,6.52,Software Engineer,Core
688,1,5.62,Business Analyst,Service
689,1,9.3,Data Analyst,Product
690,0,0.0,Not Placed,Not Placed
691,1,6.07,Software Engineer,Product
692,1,3.84,Data Analyst,Service
693,0,0.0,Not Placed,Not Placed
694,0,0.0,Not Placed,Not Placed
695,0,0.0,Not Placed,Not Placed
696,1,3.95,Business Analyst,Startup
697,1,3.29,Consulting,Consulting
698,0,0.0,Not Placed,Not Placed
699,0,0.0,Not Placed,Not Placed
700,0,0.0,Not Placed,Not Placed
701,0,0.0,Not Placed,Not Placed
702,0,0.0,Not Placed,Not Placed
703,0,0.0,Not Placed,Not Placed
704,0,0.0,Not Placed,Not Placed
705,1,6.15,Product Analyst,Consulting
706,0,0.0,Not Placed,Not Placed
707,1,5.85,Data Analyst,Service
708,0,0.0,Not Placed,Not Placed
709,1,6.65,Core Engineering,Core
710,0,0.0,Not Placed,Not Placed
711,1,7.37,Consulting,Service
712,0,0.0,Not Placed,Not Placed
713,1,9.65,Business Analyst,Service
714,1,11.33,Data Analyst,Core
715,1,6.9,Business Analyst,Product
716,1,5.64,Product Analyst,Service
717,0,0.0,Not Placed,Not Placed
718,1,6.73,Business Analyst,Startup
719,1,5.29,Consulting,Service
720,1,6.65,Software Engineer,Service
721,0,0.0,Not Placed,Not Placed
722,1,6.15,Software Engineer,Product
723,0,0.0,Not Placed,Not Placed
724,1,7.71,Consulting,Consulting
725,1,5.67,Product Analyst,Core
726,0,0.0,Not Placed,Not Placed
727,1,5.67,Product Analyst,Consulting
728,1,3.51,Product Analyst,Startup
729,0,0.0,Not Placed,Not Placed
