student_id,branch,college_tier,cgpa,internships,projects,certifications,resume_score,readiness_score
58,CSE,3,5.65,0,5,5,51.0,99.1
59,CSE,2,7.52,2,6,5,88.0,100.0
60,ECE,3,5.69,0,7,2,72.0,100.0
61,EEE,2,5.0,0,7,4,80.0,100.0
62,ECE,3,6.96,0,6,2,57.0,100.0
63,CSE,3,8.31,0,6,1,51.0,100.0
64,CSE,3,5.57,2,1,3,58.0,100.0
65,EEE,2,9.05,0,2,4,33.0,100.0
66,EEE,3,6.14,1,2,0,27.0,100.0
67,Civil,2,6.26,1,3,1,38.0,100.0
68,Civil,3,8.87,1,6,3,73.0,100.0
69,CSE,3,7.27,2,5,3,87.0,100.0
70,ECE,3,8.01,1,6,3,71.0,100.0
71,Mechanical,3,9.66,1,5,3,67.0,100.0
72,ECE,2,8.34,0,1,1,10.0,92.5
73,Civil,3,5.67,1,4,5,58.0,100.0
74,CSE,3,6.01,2,5,3,88.0,100.0
75,Mechanical,1,7.53,0,5,3,53.0,100.0
76,Civil,3,7.39,1,3,2,42.0,100.0
77,CSE,2,6.19,1,7,3,91.0,100.0
78,ECE,3,7.47,0,6,5,67.0,100.0
79,EEE,3,8.49,0,2,1,23.0,100.0
80,Mechanical,3,7.83,1,3,4,52.0,100.0
81,ECE,3,6.51,2,7,3,76.0,100.0
82,IT,3,6.85,0,6,3,51.0,100.0
83,IT,3,5.0,2,4,5,89.0,100.0
84,CSE,3,8.69,0,5,3,56.0,100.0
85,IT,3,6.5,1,1,4,42.0,100.0
86,Mechanical,3,5.0,1,6,3,69.0,100.0
87,CSE,2,7.29,1,1,6,43.0,100.0
88,ECE,2,7.56,1,7,0,76.0,100.0
89,CSE,2,7.98,0,6,5,77.0,100.0
90,EEE,3,7.39,0,5,0,39.0,100.0
91,EEE,3,7.45,0,3,0,29.0,100.0
92,Mechanical,2,6.69,1,4,1,56.0,100.0
93,CSE,3,6.19,0,6,6,88.0,100.0
94,CSE,3,8.14,0,4,3,45.0,100.0
95,EEE,3,7.39,1,7,3,80.0,100.0
96,IT,3,7.62,1,7,0,53.0,100.0
97,Civil,2,6.88,0,1,0,2.0,100.0
98,IT,3,6.31,0,4,0,18.0,100.0
99,EEE,3,7.76,1,3,0,36.0,100.0
100,CSE,3,7.46,0,1,5,26.0,100.0
101,ECE,2,7.98,2,2,3,51.0,100.0
102,ECE,3,6.76,1,3,6,47.0,99.3
103,ECE,3,5.97,0,4,4,49.0,100.0
104,Civil,3,6.29,1,6,6,78.0,100.0
105,Civil,1,8.69,0,1,0,26.0,87.0
106,Civil,3,7.66,2,7,5,100.0,100.0
107,CSE,3,5.31,0,7,1,52.0,100.0
108,ECE,2,8.68,0,7,6,98.0,100.0
109,Mechanical,2,5.37,0,2,6,49.0,100.0
110,Civil,1,7.84,1,2,4,39.0,100.0
111,Mechanical,3,8.26,0,6,2,61.0,100.0
112,CSE,3,8.75,0,4,4,39.0,92.1
113,ECE,3,6.25,0,4,6,47.0,100.0
114,CSE,2,6.73,1,7,3,82.0,100.0
115,CSE,3,6.94,2,1,5,45.0,100.0
116,IT,3,7.14,2,4,0,80.0,100.0
117,CSE,3,7.63,1,5,1,63.0,100.0
118,CSE,3,7.43,1,3,5,65.0,100.0
119,ECE,2,5.99,0,5,3,57.0,100.0
120,Civil,3,8.62,2,4,6,87.0,100.0
121,ECE,3,6.13,0,4,6,67.0,100.0
122,Civil,2,6.36,1,7,0,67.0,100.0
123,IT,3,6.06,0,2,6,33.0,100.0
124,CSE,2,6.78,0,1,4,20.0,98.3
125,ECE,3,7.65,1,3,4,47.0,100.0
126,Civil,1,6.83,1,6,4,91.0,100.0
127,Civil,3,6.64,1,6,4,80.0,100.0
128,ECE,1,7.59,1,2,3,37.0,100.0
129,CSE,3,8.02,0,4,2,29.0,100.0
130,CSE,1,8.66,0,3,3,36.0,100.0
131,CSE,2,6.28,0,5,1,48.0,100.0
132,ECE,3,6.45,0,4,0,27.0,100.0
133,CSE,3,7.19,2,7,0,84.0,100.0
134,Mechanical,1,7.1,1,1,4,34.0,100.0
135,IT,3,5.8,2,2,6,73.0,100.0
136,CSE,1,8.32,0,3,1,21.0,100.0
137,IT,3,7.55,1,5,4,78.0,100.0
138,ECE,3,7.56,1,3,5,67.0,100.0
139,IT,2,7.86,1,1,4,51.0,100.0
140,CSE,3,7.0,2,5,6,96.0,100.0
141,Mechanical,3,7.4,1,2,3,38.0,100.0
142,CSE,3,7.23,1,6,0,56.0,100.0
143,IT,1,6.87,1,6,1,80.0,100.0
144,Civil,2,7.96,2,5,2,89.0,100.0
145,CSE,3,7.53,1,2,1,47.0,100.0
146,CSE,3,8.55,1,7,5,81.0,100.0
147,Civil,1,8.07,1,1,6,56.0,100.0
148,IT,1,7.5,1,4,6,64.0,100.0
149,ECE,3,6.01,1,2,5,56.0,100.0
150,Mechanical,2,8.08,0,7,5,67.0,100.0
151,Civil,2,6.2,0,6,4,61.0,100.0
152,Mechanical,3,7.54,1,4,1,30.0,100.0
153,CSE,3,5.35,3,7,0,100.0,100.0
154,Civil,3,6.29,2,7,2,93.0,100.0
155,Mechanical,2,5.77,2,1,5,59.0,100.0
156,ECE,3,6.75,0,2,5,42.0,100.0
157,Civil,2,5.74,1,2,0,39.0,100.0
158,EEE,2,6.73,0,5,0,49.0,100.0
159,EEE,3,8.22,2,5,5,85.0,100.0
160,ECE,3,7.4,0,2,0,18.0,92.9
161,CSE,3,6.63,0,1,3,14.0,90.5
162,IT,3,6.56,1,6,6,86.0,100.0
163,Mechanical,2,7.28,1,7,3,68.0,100.0
164,IT,2,7.52,0,5,1,50.0,100.0
165,IT,3,7.45,1,2,1,33.0,100.0
166,CSE,2,6.02,1,5,2,70.0,100.0
167,IT,2,7.19,0,6,2,57.0,100.0
168,EEE,2,6.68,1,6,1,58.0,100.0
169,CSE,3,6.89,0,6,1,40.0,100.0
170,IT,3,7.47,0,4,5,49.0,100.0
171,CSE,1,7.81,3,5,1,76.0,100.0
172,CSE,3,5.53,1,3,3,71.0,100.0
173,ECE,3,7.94,0,6,3,66.0,100.0
174,Civil,2,5.61,0,2,0,25.0,100.0
175,CSE,3,9.15,0,2,3,16.0,100.0
176,CSE,3,7.43,0,4,6,57.0,100.0
177,Civil,3,7.14,0,3,3,27.0,100.0
178,Mechanical,3,8.34,3,3,4,79.0,100.0
179,CSE,3,6.48,1,6,2,78.0,100.0
180,EEE,3,7.91,0,1,4,19.0,100.0
181,CSE,3,8.54,3,6,5,100.0,100.0
182,CSE,1,6.43,0,3,3,30.0,100.0
183,IT,3,6.58,1,4,5,54.0,100.0
184,CSE,3,7.12,0,5,0,43.0,100.0
185,CSE,2,7.09,0,3,6,55.0,100.0
186,CSE,2,7.07,1,3,2,62.0,100.0
187,Mechanical,2,8.55,0,4,0,26.0,100.0
188,CSE,3,8.73,0,6,4,79.0,100.0
189,Mechanical,1,8.6,1,2,6,50.0,100.0
190,EEE,2,6.03,0,4,1,26.0,98.0
191,ECE,2,6.83,0,6,2,63.0,100.0
192,ECE,3,9.32,1,6,2,87.0,100.0
193,CSE,2,5.83,0,1,6,24.0,100.0
194,CSE,2,8.21,0,5,1,40.0,100.0
195,CSE,3,6.3,1,5,2,59.0,100.0
196,CSE,3,7.61,2,7,4,100.0,100.0
197,CSE,3,7.21,0,3,2,31.0,100.0
198,EEE,3,6.34,2,3,3,63.0,100.0
199,ECE,3,5.76,0,2,1,19.0,100.0
200,Civil,3,7.74,2,3,0,61.0,100.0
201,CSE,1,7.09,2,5,0,82.0,100.0
202,CSE,1,6.91,0,3,2,35.0,91.5
203,CSE,3,7.52,0,4,1,34.0,100.0
204,Civil,3,8.26,3,6,5,100.0,100.0
205,IT,1,7.07,0,5,6,59.0,100.0
206,CSE,2,8.09,1,7,1,69.0,100.0
207,CSE,2,6.87,1,6,6,89.0,100.0
208,EEE,3,7.34,1,2,1,37.0,100.0
209,EEE,2,8.31,0,1,1,17.0,88.0
210,CSE,2,8.29,1,7,3,79.0,100.0
211,Civil,2,7.18,1,6,3,61.0,100.0
212,CSE,3,5.85,2,5,6,100.0,100.0
213,EEE,2,7.44,0,2,0,21.0,100.0
214,ECE,2,5.79,2,4,4,80.0,100.0
215,CSE,3,7.23,1,3,1,22.0,100.0
216,Mechanical,1,6.22,0,4,5,50.0,100.0
217,IT,1,8.8,0,3,1,26.0,98.3
218,CSE,3,7.46,2,4,3,73.0,100.0
219,CSE,3,9.25,0,3,6,49.0,100.0
220,CSE,3,8.88,0,1,3,17.0,100.0
221,IT,3,7.76,2,3,1,55.0,99.0
222,CSE,3,8.76,0,7,3,67.0,100.0
223,CSE,3,7.32,0,6,6,81.0,100.0
224,Civil,3,6.43,1,4,6,51.0,100.0
225,IT,3,7.04,0,2,0,12.0,100.0
226,Mechanical,3,7.56,0,7,5,74.0,100.0
227,ECE,1,7.71,0,7,4,79.0,100.0
228,CSE,3,8.29,3,5,5,100.0,100.0
229,Mechanical,2,5.1,0,1,1,14.0,100.0
230,ECE,3,6.11,0,3,2,29.0,100.0
231,CSE,3,6.85,0,2,1,26.0,92.0
232,Civil,1,6.63,1,2,3,43.0,100.0
233,CSE,3,7.69,2,3,5,73.0,100.0
234,CSE,3,6.28,1,5,2,58.0,100.0
235,IT,3,7.23,0,5,2,44.0,100.0
236,CSE,3,7.13,0,2,6,32.0,100.0
237,CSE,3,6.3,2,1,5,61.0,100.0
238,CSE,3,7.47,1,6,4,85.0,100.0
239,EEE,3,5.0,1,6,5,81.0,100.0
240,CSE,2,7.26,0,7,0,62.0,100.0
241,CSE,2,5.56,1,2,1,37.0,100.0
242,IT,1,6.55,2,4,3,70.0,100.0
243,Civil,2,5.34,1,4,3,58.0,100.0
244,CSE,2,6.29,0,2,5,28.0,86.6
245,CSE,3,6.67,2,4,3,79.0,100.0
246,CSE,2,5.86,1,1,0,29.0,100.0
247,Mechanical,3,6.63,3,5,0,82.0,100.0
248,CSE,3,8.08,0,5,5,54.0,100.0
249,Mechanical,3,6.88,0,2,1,12.0,92.9
250,CSE,3,8.35,0,7,3,78.0,100.0
251,CSE,3,7.32,0,2,4,29.0,100.0
252,ECE,2,5.0,0,2,0,18.0,95.7
253,EEE,3,7.6,0,4,4,49.0,100.0
254,CSE,3,5.69,3,3,1,72.0,100.0
255,CSE,3,7.47,0,7,0,56.0,100.0
256,IT,1,7.23,1,6,0,66.0,100.0
257,CSE,3,8.31,2,7,0,95.0,100.0
258,CSE,3,7.7,1,6,6,92.0,100.0
259,ECE,3,7.33,2,6,2,88.0,100.0
260,ECE,2,7.71,0,1,0,14.0,88.2
261,IT,2,6.95,0,1,5,35.0,100.0
262,ECE,2,6.73,0,7,4,76.0,100.0
263,CSE,3,6.23,1,4,2,48.0,100.0
264,CSE,3,6.37,0,6,5,68.0,100.0
265,EEE,3,6.35,0,4,3,34.0,100.0
266,ECE,1,6.59,0,7,5,90.0,100.0
267,CSE,3,7.56,2,7,2,91.0,100.0
268,ECE,2,9.41,1,5,5,78.0,100.0
269,CSE,3,5.99,0,3,2,28.0,93.7
270,CSE,1,8.34,1,3,0,45.0,92.3
271,CSE,2,7.58,1,6,3,88.0,100.0
272,CSE,3,7.01,1,4,3,69.0,100.0
273,IT,3,6.28,1,5,6,62.0,100.0
274,CSE,3,8.24,0,4,3,51.0,100.0
275,CSE,3,6.43,1,6,6,89.0,100.0
276,Civil,3,6.64,0,6,6,69.0,100.0
277,IT,3,8.17,0,6,1,47.0,100.0
278,CSE,3,5.82,0,4,2,40.0,100.0
279,Mechanical,2,8.63,0,1,4,30.0,100.0
280,IT,2,9.75,0,2,0,18.0,100.0
281,IT,2,7.41,2,4,4,92.0,100.0
282,Mechanical,3,6.82,0,5,0,35.0,100.0
283,IT,3,7.34,1,4,5,70.0,100.0
284,Mechanical,3,6.9,0,4,3,39.0,100.0
285,Mechanical,2,6.73,0,7,6,84.0,100.0
286,Mechanical,3,6.82,0,2,5,45.0,96.2
287,EEE,3,6.91,2,1,5,52.0,100.0
288,EEE,2,7.39,2,2,0,59.0,100.0
289,CSE,2,6.9,0,1,5,35.0,94.4
290,CSE,3,9.36,0,4,1,43.0,100.0
291,CSE,3,8.56,1,2,4,47.0,100.0
292,IT,2,7.22,1,3,3,47.0,100.0
293,ECE,3,5.92,2,7,1,86.0,100.0
294,CSE,3,6.57,1,2,6,36.0,92.1
295,Mechanical,3,7.97,0,4,0,41.0,100.0
296,ECE,1,8.9,1,2,5,60.0,100.0
297,Civil,3,7.52,0,5,3,33.0,100.0
298,ECE,3,7.06,0,5,6,53.0,100.0
299,CSE,2,6.06,0,6,3,64.0,100.0
300,CSE,2,6.78,1,7,6,89.0,100.0
301,Mechanical,3,6.79,1,3,0,39.0,100.0
302,IT,1,6.7,1,7,6,95.0,100.0
303,ECE,3,8.37,0,4,1,39.0,100.0
304,Mechanical,3,5.23,1,7,2,87.0,100.0
305,Mechanical,1,7.87,1,7,3,83.0,100.0
306,EEE,1,8.56,2,5,6,100.0,100.0
307,IT,2,6.76,2,3,0,48.0,100.0
308,Civil,2,6.64,0,2,6,32.0,87.2
309,IT,1,8.33,0,4,1,46.0,100.0
310,IT,3,6.94,2,3,1,56.0,100.0
311,IT,3,7.37,0,4,4,48.0,100.0
312,CSE,3,7.15,0,2,0,23.0,89.9
313,EEE,3,6.26,0,1,5,34.0,93.4
314,Civil,2,7.47,3,3,3,96.0,100.0
315,EEE,3,6.94,0,4,0,24.0,100.0
316,IT,2,7.24,3,7,1,100.0,100.0
317,ECE,2,8.56,1,6,4,64.0,100.0
318,EEE,2,7.36,0,3,4,29.0,95.4
319,Civil,3,7.02,1,2,2,55.0,100.0
320,IT,2,6.74,2,6,3,90.0,100.0
321,CSE,3,8.29,0,5,4,43.0,100.0
322,Civil,2,6.56,1,7,5,91.0,100.0
323,ECE,3,6.36,1,1,1,24.0,100.0
324,CSE,1,7.65,1,6,3,68.0,100.0
325,Civil,1,7.89,0,2,5,45.0,100.0
326,CSE,3,7.74,0,3,5,34.0,100.0
327,CSE,3,8.43,3,5,4,94.0,100.0
328,IT,2,6.98,0,1,6,28.0,100.0
329,ECE,3,8.97,1,7,0,78.0,100.0
330,IT,3,6.91,1,5,4,71.0,100.0
331,CSE,3,7.46,1,3,0,40.0,100.0
332,EEE,2,7.48,1,1,1,25.0,100.0
333,CSE,3,6.17,2,5,0,79.0,100.0
334,ECE,2,5.82,0,7,2,65.0,100.0
335,CSE,2,7.52,2,4,2,77.0,100.0
336,IT,2,6.22,2,6,5,94.0,100.0
337,CSE,1,8.28,1,3,2,55.0,100.0
338,CSE,2,9.07,0,2,2,24.0,100.0
339,CSE,3,7.07,0,5,0,53.0,100.0
340,CSE,3,7.86,2,7,0,80.0,100.0
341,IT,2,8.62,2,5,1,78.0,100.0
342,ECE,2,6.85,2,5,0,82.0,100.0
343,CSE,2,6.98,2,4,0,69.0,100.0
344,CSE,2,8.15,1,3,5,55.0,100.0
345,EEE,3,7.09,0,1,6,49.0,100.0
346,Mechanical,2,8.02,0,3,1,34.0,100.0
347,Civil,3,7.26,0,4,5,68.0,100.0
348,Mechanical,3,6.23,0,7,0,58.0,100.0
349,ECE,3,6.8,0,5,0,39.0,100.0
350,Mechanical,2,7.77,0,3,5,43.0,89.8
351,EEE,3,6.8,0,5,4,59.0,100.0
352,IT,3,8.71,0,1,6,27.0,100.0
353,CSE,3,7.6,0,5,2,59.0,100.0
354,ECE,3,6.78,3,1,4,67.0,100.0
355,CSE,3,7.74,0,5,1,45.0,100.0
356,Mechanical,2,6.25,0,4,5,51.0,97.9
357,CSE,2,6.67,1,5,5,65.0,100.0
358,Mechanical,3,7.42,0,7,1,55.0,100.0
359,ECE,2,6.98,0,7,1,74.0,100.0
360,EEE,2,7.8,1,3,2,46.0,100.0
361,IT,3,8.33,3,7,2,100.0,100.0
362,EEE,1,6.45,0,4,5,53.0,100.0
363,CSE,3,7.67,0,7,4,73.0,100.0
364,EEE,3,6.67,0,5,4,52.0,100.0
365,IT,2,7.34,0,2,5,44.0,100.0
366,EEE,3,8.78,3,7,4,100.0,100.0
367,Mechanical,2,5.0,3,5,4,94.0,100.0
368,Civil,3,6.73,0,2,4,28.0,91.9
369,ECE,3,8.02,1,3,2,42.0,100.0
370,ECE,3,6.17,0,6,3,64.0,100.0
371,ECE,3,5.91,0,4,4,61.0,100.0
372,ECE,2,5.24,0,4,2,35.0,100.0
373,ECE,2,8.03,3,3,2,85.0,100.0
374,ECE,3,6.41,1,4,0,47.0,100.0
375,Mechanical,3,8.25,0,4,1,36.0,95.2
376,CSE,3,7.41,1,5,2,53.0,100.0
377,CSE,2,8.09,2,3,5,69.0,100.0
378,IT,3,6.79,1,5,0,52.0,100.0
379,ECE,2,6.88,0,7,3,53.0,100.0
380,Civil,1,5.88,1,5,5,77.0,100.0
381,CSE,2,7.21,0,4,5,68.0,100.0
382,CSE,2,7.61,0,1,0,17.0,100.0
383,Civil,2,7.2,2,3,3,70.0,100.0
384,ECE,3,7.14,0,2,5,43.0,100.0
385,CSE,3,7.23,0,6,4,61.0,100.0
386,ECE,3,8.74,1,3,6,46.0,100.0
387,EEE,3,8.58,1,5,2,70.0,100.0
388,EEE,3,7.35,1,6,5,84.0,100.0
389,ECE,3,7.52,0,5,5,55.0,100.0
390,CSE,3,6.86,2,7,3,95.0,100.0
391,CSE,3,8.37,0,5,0,39.0,100.0
392,CSE,3,7.31,0,2,0,24.0,100.0
393,Mechanical,3,8.91,2,1,0,41.0,100.0
394,ECE,1,7.29,2,7,0,81.0,100.0
395,IT,1,7.79,1,5,1,51.0,100.0
396,ECE,2,7.6,1,2,6,44.0,100.0
397,Civil,3,6.55,0,6,1,50.0,100.0
398,CSE,3,8.07,0,3,4,29.0,100.0
399,Mechanical,2,6.98,0,3,2,24.0,95.0
400,Mechanical,3,6.23,1,1,6,57.0,100.0
401,CSE,1,6.53,0,5,5,53.0,100.0
402,Mechanical,3,7.67,0,3,5,38.0,100.0
403,Mechanical,1,7.57,2,3,1,61.0,100.0
404,CSE,3,8.59,1,4,6,57.0,100.0
405,IT,1,6.48,0,1,3,17.0,87.5
406,IT,1,6.03,1,6,5,81.0,100.0
407,EEE,2,7.82,0,6,6,67.0,100.0
408,EEE,3,6.99,2,1,5,54.0,100.0
409,CSE,3,6.89,1,4,6,89.0,100.0
410,CSE,3,6.5,1,2,0,37.0,97.0
411,CSE,2,7.82,1,6,1,70.0,100.0
412,ECE,2,8.35,2,1,2,57.0,100.0
413,CSE,2,6.84,0,5,1,45.0,100.0
414,IT,2,7.37,1,1,4,37.0,100.0
415,CSE,3,7.54,1,4,5,69.0,100.0
416,EEE,3,9.05,0,2,5,36.0,97.1
417,CSE,2,5.92,1,2,2,34.0,100.0
418,CSE,3,6.91,0,3,3,30.0,100.0
419,IT,3,9.56,0,7,5,80.0,100.0
420,CSE,3,8.08,1,3,2,42.0,100.0
421,ECE,1,7.91,0,1,0,6.0,100.0
422,CSE,2,7.01,0,2,4,21.0,100.0
423,Mechanical,2,5.95,3,5,3,100.0,100.0
424,IT,2,6.88,0,1,5,29.0,98.0
425,Civil,1,7.49,1,2,6,57.0,100.0
426,Civil,2,6.66,3,1,5,64.0,100.0
427,CSE,3,8.55,1,4,3,61.0,100.0
428,ECE,3,6.31,1,2,3,47.0,100.0
429,CSE,3,7.6,3,7,0,100.0,100.0
430,CSE,3,5.54,2,7,4,100.0,100.0
431,CSE,2,7.03,0,2,2,28.0,100.0
432,CSE,2,5.45,0,3,3,50.0,100.0
433,Mechanical,3,6.36,1,2,2,51.0,100.0
434,IT,3,6.8,1,1,0,29.0,100.0
435,CSE,3,8.01,1,3,4,66.0,100.0
436,Mechanical,3,7.02,0,7,4,72.0,100.0
437,Mechanical,3,5.85,1,4,2,65.0,100.0
438,IT,3,5.0,1,1,6,46.0,100.0
439,CSE,2,6.35,1,7,6,83.0,100.0
440,EEE,3,6.58,1,5,2,49.0,100.0
441,EEE,2,7.1,2,2,6,71.0,100.0
442,IT,3,8.12,2,1,5,60.0,100.0
443,Mechanical,2,6.39,0,2,1,19.0,99.0
444,CSE,2,7.87,0,1,6,26.0,94.5
445,IT,3,6.55,1,1,3,30.0,100.0
446,IT,3,5.58,2,1,6,62.0,100.0
447,Mechanical,2,7.85,0,7,0,47.0,100.0
448,ECE,3,7.6,1,5,0,49.0,100.0
449,CSE,3,8.24,1,2,5,56.0,100.0
450,ECE,2,7.63,2,2,5,63.0,100.0
451,ECE,3,6.16,1,2,0,30.0,98.5
452,CSE,2,6.08,1,5,5,51.0,100.0
453,ECE,3,7.42,0,3,4,49.0,100.0
454,CSE,2,8.04,0,4,2,40.0,100.0
455,CSE,2,7.08,0,3,3,32.0,100.0
456,EEE,3,6.41,1,5,1,50.0,100.0
457,CSE,2,8.47,0,7,1,61.0,100.0
458,Mechanical,2,8.13,1,2,3,44.0,97.0
459,ECE,3,6.04,0,5,5,55.0,100.0
460,IT,2,6.73,3,4,1,84.0,100.0
461,ECE,3,6.41,1,3,0,39.0,100.0
462,CSE,2,7.11,1,2,4,39.0,100.0
463,IT,3,8.2,0,3,3,31.0,100.0
464,CSE,2,8.97,1,2,5,59.0,100.0
465,Civil,1,6.32,1,2,3,48.0,100.0
466,Mechanical,3,9.36,0,5,6,61.0,100.0
467,EEE,3,9.35,3,7,1,100.0,100.0
468,Civil,1,8.8,1,6,1,82.0,100.0
469,CSE,3,8.47,0,1,1,15.0,83.2
470,IT,3,6.18,1,4,1,49.0,100.0
471,Mechanical,3,7.25,1,3,6,69.0,100.0
472,Mechanical,2,6.57,0,6,5,65.0,100.0
473,CSE,1,8.35,1,1,6,54.0,100.0
474,CSE,3,7.0,2,1,6,64.0,100.0
475,CSE,1,8.79,1,4,5,70.0,100.0
476,Civil,2,8.83,1,7,4,85.0,100.0
477,ECE,3,6.7,0,6,4,50.0,100.0
478,CSE,3,9.3,0,6,6,82.0,100.0
479,Civil,3,8.58,0,5,6,72.0,100.0
480,Mechanical,2,6.75,0,7,4,77.0,100.0
481,ECE,2,7.94,1,5,6,70.0,100.0
482,CSE,3,6.82,2,3,4,75.0,100.0
483,IT,3,6.68,0,7,2,66.0,100.0
484,CSE,3,7.34,1,6,1,66.0,100.0
485,IT,3,6.77,2,3,3,55.0,100.0
486,CSE,2,8.41,1,6,1,52.0,100.0
487,CSE,1,6.88,0,2,0,0.0,90.1
488,Mechanical,1,7.0,2,5,0,78.0,100.0
489,ECE,3,7.79,0,7,2,53.0,100.0
490,CSE,3,6.53,0,4,0,31.0,100.0
491,CSE,3,9.26,0,2,2,42.0,100.0
492,IT,2,7.01,1,5,2,72.0,100.0
493,Civil,1,7.49,0,5,1,53.0,100.0
494,Civil,3,6.82,0,4,0,30.0,99.5
495,Mechanical,3,7.65,2,2,4,62.0,100.0
496,Mechanical,3,6.74,0,3,6,60.0,100.0
497,Mechanical,3,8.61,1,4,1,52.0,100.0
498,EEE,3,8.3,2,7,4,100.0,100.0
499,ECE,3,7.09,1,6,2,67.0,100.0
500,CSE,3,7.48,0,1,2,18.0,100.0
501,CSE,1,7.11,0,2,1,19.0,100.0
502,CSE,3,8.25,0,2,4,36.0,91.2
503,Mechanical,3,5.99,0,3,1,36.0,94.9
504,Civil,3,7.45,0,4,2,48.0,100.0
505,ECE,3,7.49,0,2,4,45.0,100.0
506,CSE,3,6.43,0,3,3,29.0,100.0
507,Mechanical,3,7.9,1,1,2,35.0,100.0
508,Mechanical,1,8.28,0,2,1,17.0,91.4
509,IT,3,6.89,0,6,6,75.0,100.0
510,ECE,2,6.87,1,4,2,55.0,100.0
511,EEE,1,7.34,1,6,2,69.0,100.0
512,Civil,3,6.31,0,6,3,55.0,100.0
513,Mechanical,3,6.99,0,3,4,30.0,100.0
514,Mechanical,2,6.31,0,5,6,62.0,100.0
515,Mechanical,3,6.76,0,7,3,75.0,100.0
516,CSE,3,7.69,1,1,0,27.0,100.0
517,ECE,3,7.13,1,2,6,50.0,100.0
518,Civil,3,6.7,0,7,5,75.0,100.0
519,EEE,3,9.2,3,5,6,100.0,100.0
520,Mechanical,2,9.37,1,5,2,69.0,100.0
521,Mechanical,3,8.09,0,7,1,52.0,100.0
522,CSE,3,8.71,0,3,4,45.0,100.0
523,ECE,2,8.35,2,5,3,91.0,100.0
524,CSE,1,8.01,3,1,4,64.0,100.0
525,CSE,3,5.24,0,6,1,50.0,93.7
526,Mechanical,3,7.88,0,6,3,55.0,100.0
527,Mechanical,3,7.76,1,2,6,43.0,100.0
528,CSE,3,6.4,2,2,2,43.0,100.0
529,ECE,3,6.45,0,7,1,50.0,100.0
530,CSE,3,5.69,1,1,1,23.0,98.0
531,ECE,3,5.78,1,4,3,68.0,100.0
532,CSE,3,7.38,3,4,2,76.0,100.0
