student_id,applications_sent,oa_attempted,oa_cleared,interviews_received,interviews_cleared,offers_received
135,61,41,18,5,1,1
136,142,82,32,8,4,1
137,27,19,10,2,0,0
138,77,53,13,3,0,0
139,79,55,25,7,3,0
140,120,90,28,11,2,0
141,40,28,11,2,1,1
142,146,104,29,13,7,3
143,101,77,24,7,1,0
144,148,109,50,17,7,2
145,29,20,7,3,1,0
146,107,81,30,3,1,0
147,90,74,29,7,1,0
148,97,89,43,18,9,4
149,80,53,16,5,0,0
150,64,45,9,2,2,0
151,101,79,32,9,3,1
152,104,62,23,5,2,1
153,66,52,27,7,3,1
154,134,112,57,15,6,2
155,32,24,8,3,1,1
156,43,30,16,4,1,0
157,87,68,25,5,1,0
158,68,49,23,9,5,1
159,49,35,15,7,2,1
160,128,77,30,7,5,2
161,66,50,18,5,2,1
162,58,36,12,2,1,1
163,95,64,15,6,3,0
164,81,60,20,3,2,0
165,87,69,31,14,5,2
166,49,35,13,5,3,0
167,42,33,14,5,1,0
168,87,60,26,11,2,0
169,45,34,21,5,1,0
170,127,74,33,4,2,0
171,90,61,33,6,4,2
172,43,21,10,4,1,0
173,66,42,25,4,2,0
174,60,41,20,9,1,1
175,133,90,32,9,5,1
176,147,112,55,21,6,1
177,75,49,25,4,1,0
178,96,85,36,12,3,0
179,89,75,25,10,2,1
180,134,88,34,10,5,1
181,105,92,39,14,4,2
182,40,26,8,3,1,0
183,68,42,12,4,3,1
184,132,84,26,8,4,1
185,83,53,17,5,1,0
186,136,85,32,11,7,3
187,84,55,18,5,2,1
188,138,107,41,10,6,1
189,88,67,29,9,3,0
190,64,48,17,3,1,0
191,149,95,39,7,3,0
192,45,31,6,0,0,0
193,32,26,17,2,0,0
194,79,48,23,7,1,0
195,107,91,44,13,3,0
196,50,35,7,1,0,0
197,128,96,37,9,6,2
198,106,77,37,12,3,0
199,102,83,25,12,6,1
200,121,88,27,10,4,1
201,91,75,27,7,4,2
202,53,41,14,3,1,1
203,64,46,17,5,0,0
204,46,35,11,3,0,0
205,50,39,16,4,2,1
206,88,73,29,11,5,1
207,121,81,42,8,5,0
208,33,22,9,4,0,0
209,50,32,17,4,2,1
210,108,70,20,4,0,0
211,68,57,31,7,2,1
212,39,26,10,3,2,1
213,106,77,38,8,3,1
214,118,92,33,11,1,0
215,42,30,12,2,0,0
216,125,72,28,8,3,0
217,77,52,26,4,0,0
218,84,71,24,6,3,0
219,47,32,8,5,1,0
220,93,82,22,7,4,0
221,111,70,24,4,3,0
222,59,42,5,1,1,0
223,114,81,28,8,3,0
224,61,51,19,3,1,1
225,119,74,35,6,2,0
226,45,35,12,3,3,0
227,105,73,24,7,3,2
228,97,65,22,6,1,1
229,68,43,20,5,1,0
230,55,35,11,1,0,0
231,143,108,39,14,5,1
232,126,99,32,8,1,0
233,76,44,17,3,2,1
234,99,73,32,6,3,0
235,96,70,26,8,1,0
236,143,106,43,15,10,2
237,55,34,15,5,1,0
238,114,92,38,12,2,1
239,144,86,23,8,3,0
240,116,88,38,11,5,2
241,89,53,35,10,2,1
242,123,87,41,8,5,0
243,89,62,27,11,4,0
244,72,48,24,5,0,0
245,124,80,25,7,1,0
246,113,96,29,11,4,0
247,26,21,7,1,1,1
248,54,35,15,9,4,2
249,54,42,22,8,4,1
250,36,25,4,1,0,0
251,51,39,9,2,2,1
252,58,38,6,3,1,0
253,35,29,10,2,0,0
254,143,114,37,12,6,1
255,128,86,32,4,1,0
256,139,101,47,19,5,2
257,60,40,16,6,3,1
258,44,30,9,4,1,0
259,40,26,9,0,0,0
260,108,88,32,10,1,1
261,148,111,33,7,3,1
262,99,62,23,5,3,0
263,37,34,14,2,1,0
264,38,20,9,2,0,0
265,106,83,34,7,2,0
266,93,73,44,12,4,1
267,54,42,18,8,1,1
268,131,98,38,7,2,1
269,71,49,17,3,0,0
270,73,42,13,2,0,0
271,147,96,43,12,8,4
272,96,70,21,8,3,2
273,47,39,18,6,3,2
274,103,64,19,3,1,0
275,88,57,33,8,7,3
276,86,69,30,7,1,0
277,45,30,9,1,1,0
278,86,68,38,8,2,0
279,127,98,45,20,9,3
280,60,52,22,4,2,0
281,115,92,37,7,3,1
282,89,52,11,3,2,0
283,42,39,15,6,4,1
284,122,87,40,10,5,1
285,67,49,25,4,2,0
286,25,21,8,5,4,0
287,86,57,13,3,0,0
288,123,86,42,4,2,1
289,110,79,22,1,0,0
290,52,45,14,3,0,0
291,124,99,44,12,6,1
292,85,69,23,11,7,3
293,101,79,23,4,0,0
294,78,54,23,4,1,0
295,68,52,21,2,0,0
296,110,75,22,8,1,0
297,142,90,37,11,3,1
298,81,56,21,3,0,0
299,95,75,36,8,4,0
300,68,59,20,7,2,1
301,47,32,17,5,2,0
302,47,40,12,2,1,0
303,68,48,19,6,1,1
304,82,45,14,3,2,1
305,56,48,28,12,3,2
306,146,85,35,10,6,3
307,39,29,9,1,0,0
308,99,60,14,8,3,1
309,88,46,13,4,1,0
310,115,84,18,8,3,0
311,73,55,24,6,4,1
312,92,69,20,7,2,0
313,85,70,28,5,3,2
314,139,101,40,4,1,0
315,147,111,34,8,3,0
316,116,87,24,1,1,0
317,76,58,16,2,1,0
318,119,91,26,9,0,0
319,35,21,9,2,0,0
320,70,51,9,3,0,0
321,54,39,13,4,3,2
322,114,82,35,12,2,0
323,99,71,32,11,5,1
324,121,89,42,13,5,1
325,51,36,11,4,2,0
326,40,29,14,5,2,1
327,115,85,32,3,1,0
328,141,112,56,19,9,4
329,137,100,54,17,7,0
330,33,21,8,2,0,0
331,96,69,33,10,4,2
332,57,41,23,6,2,0
333,53,38,7,2,1,1
334,129,62,30,3,0,0
335,41,29,11,4,2,0
336,37,23,12,4,2,0
337,119,82,21,12,4,1
338,86,59,25,11,6,1
339,97,80,44,13,6,0
340,85,59,18,5,3,0
341,118,81,34,11,7,1
342,87,72,30,5,2,1
343,112,93,25,7,1,0
344,113,96,24,9,3,2
345,76,55,30,5,0,0
346,81,59,22,3,1,0
347,131,102,43,17,10,2
348,129,72,34,3,1,0
349,86,79,35,8,2,0
350,43,20,7,2,0,0
351,114,78,26,7,1,0
352,135,88,33,5,2,0
353,61,41,19,8,5,0
354,95,57,22,8,2,0
355,61,45,17,4,0,0
356,37,26,11,3,0,0
357,141,93,49,14,7,3
358,113,92,43,14,6,2
359,42,28,5,2,1,0
360,87,62,32,13,5,2
361,135,89,31,2,1,0
362,130,75,30,11,3,1
363,30,24,4,0,0,0
364,129,88,35,14,4,3
365,93,57,21,6,3,1
366,77,51,17,5,3,1
367,97,69,21,7,4,3
368,27,24,9,2,1,0
369,47,35,14,6,5,2
370,113,95,43,12,4,2
371,45,30,7,2,0,0
372,52,34,11,0,0,0
373,63,41,20,4,0,0
374,103,83,39,8,5,2
375,145,86,17,4,1,0
376,126,86,30,9,6,1
377,38,29,16,3,1,0
378,106,66,32,8,4,1
379,85,62,19,4,2,0
380,56,29,10,0,0,0
381,111,82,26,5,4,1
382,80,53,15,7,2,1
383,130,71,36,16,6,2
384,58,40,13,2,1,0
385,88,62,25,7,3,0
386,124,92,43,14,7,2
387,103,80,38,11,4,1
388,115,81,32,8,4,1
389,78,52,13,7,2,0
390,53,37,11,4,3,2
391,78,54,10,3,2,1
392,68,53,25,9,3,1
393,79,54,27,6,1,1
394,148,98,54,21,5,1
395,33,24,2,2,1,1
396,34,32,12,1,0,0
397,65,46,23,5,0,0
398,61,42,10,4,1,0
399,88,63,27,6,1,0
400,37,27,13,7,5,3
401,62,48,27,7,2,1
402,29,25,9,4,2,1
403,46,36,14,6,3,0
404,89,74,33,13,6,1
405,137,101,23,8,4,0
406,81,57,22,9,3,0
407,34,21,10,2,1,0
408,71,58,8,3,0,0
409,147,123,69,17,5,1
410,114,87,27,10,3,1
411,29,26,9,2,1,1
412,130,98,20,4,1,0
413,142,79,26,10,6,1
414,93,85,28,10,5,1
415,97,60,16,5,0,0
416,145,129,57,10,2,0
417,140,102,43,11,3,1
418,148,123,58,13,6,1
419,28,17,7,5,1,0
420,144,116,57,17,6,2
421,123,99,46,14,6,2
422,98,80,40,13,7,1
423,79,59,26,12,2,1
424,56,38,11,3,2,1
425,33,19,9,2,1,0
426,102,60,27,6,3,1
427,136,100,43,15,5,1
428,48,34,14,2,1,0
429,116,74,19,5,2,0
430,107,82,48,13,2,0
431,32,17,3,0,0,0
432,79,62,16,5,2,1
433,30,24,9,2,0,0
434,76,54,26,7,3,0
435,102,59,19,3,1,0
436,92,70,26,8,4,1
437,139,99,34,10,2,0
438,140,103,46,10,3,0
439,57,46,16,3,2,1
440,131,92,18,6,5,0
441,94,51,15,4,3,1
442,78,55,15,2,0,0
443,96,60,19,4,3,0
444,82,65,18,8,3,1
445,54,39,17,1,0,0
446,36,19,10,2,0,0
447,144,89,15,7,2,0
448,115,83,37,9,3,1
449,122,75,29,13,2,0
450,96,83,24,5,1,1
451,137,121,66,14,3,0
452,104,66,30,10,3,0
453,129,84,23,6,2,1
454,33,25,11,3,1,0
455,62,36,15,5,3,1
456,102,62,31,7,5,1
457,70,54,22,7,4,1
458,63,48,15,2,2,0
459,108,66,28,6,4,0
460,28,19,6,4,0,0
461,147,124,49,9,5,2
462,41,34,12,3,2,0
463,100,85,36,7,2,0
464,130,84,30,6,2,1
465,96,73,22,6,1,1
466,58,38,13,4,0,0
467,43,28,11,1,0,0
468,94,84,25,8,4,1
469,140,97,22,10,3,0
470,47,33,13,5,1,0
471,116,62,20,5,3,1
472,134,112,45,14,5,1
473,30,19,9,3,0,0
474,91,64,19,4,2,0
475,58,43,16,7,2,1
476,90,69,25,5,0,0
477,128,96,36,16,7,0
478,34,24,9,1,1,0
479,99,67,36,14,7,1
480,64,43,16,1,0,0
481,127,98,20,6,3,0
482,70,43,10,1,1,1
483,53,41,11,4,2,0
484,70,57,29,10,5,1
485,72,52,16,4,0,0
486,67,57,25,10,4,1
487,105,79,29,4,2,1
488,146,119,37,9,4,1
489,71,44,18,3,0,0
490,82,55,12,5,4,1
491,97,72,17,5,1,0
492,121,88,32,12,3,2
493,98,82,37,7,2,0
494,140,89,30,9,3,1
495,46,40,15,5,1,0
496,60,43,12,5,2,1
497,135,96,38,14,6,2
498,27,22,12,5,2,1
499,60,44,24,6,3,1
500,86,79,28,6,2,0
501,64,43,19,3,1,0
502,69,44,11,5,0,0
503,147,110,40,9,3,1
504,41,30,10,2,1,0
505,42,28,12,4,2,0
506,95,75,35,14,5,0
507,44,33,8,3,2,1
508,32,27,8,3,1,0
509,93,79,41,12,7,2
510,125,91,39,10,3,0
511,92,74,22,4,3,1
512,111,86,45,20,7,3
513,68,47,19,1,0,0
514,98,64,25,5,0,0
515,122,87,28,6,3,0
516,47,41,13,3,1,1
517,56,35,14,5,1,0
518,62,49,13,3,0,0
519,128,79,38,11,6,2
520,139,95,41,14,10,1
521,32,24,6,0,0,0
522,52,36,15,2,0,0
523,139,87,28,5,4,0
524,55,36,16,7,2,0
525,113,75,22,10,4,2
526,89,65,30,6,4,3
527,137,97,34,15,6,2
528,125,93,45,9,4,1
529,83,49,11,1,1,1
530,133,97,37,14,7,2
531,135,118,48,16,7,1
532,117,88,34,9,1,0
533,125,99,26,6,1,0
534,83,49,19,5,1,0
535,26,23,8,1,0,0
536,48,35,14,3,3,1
537,124,89,20,5,3,0
538,35,24,8,3,1,0
539,53,42,21,5,1,1
540,84,64,24,8,2,0
541,84,62,32,7,2,0
542,127,98,33,6,3,0
543,94,73,20,3,0,0
544,135,104,55,20,8,4
545,83,63,23,8,3,0
546,98,64,24,6,2,0
547,94,61,28,10,5,2
548,83,59,26,6,2,1
549,93,71,21,3,1,0
550,111,74,20,7,5,1
551,51,35,20,5,1,0
552,39,30,13,4,3,2
553,89,73,24,5,2,1
554,80,63,21,5,2,0
555,68,48,23,7,4,1
556,101,66,22,3,0,0
557,142,89,46,16,11,4
558,46,34,11,2,1,0
559,106,76,29,7,2,1
560,128,108,31,8,1,1
561,55,48,23,6,2,0
562,26,20,5,2,0,0
563,97,67,26,8,2,1
564,137,110,38,7,2,1
565,53,39,16,5,2,0
566,61,41,13,3,1,0
567,34,24,9,1,0,0
568,128,88,32,6,1,0
569,53,35,13,4,2,1
570,110,93,34,6,2,0
571,113,96,46,11,4,2
572,104,64,9,1,1,0
573,73,52,30,15,8,3
574,100,64,27,7,2,0
575,71,45,19,6,2,1
576,51,43,20,5,3,0
577,59,39,20,6,3,1
578,118,84,38,9,3,0
579,69,47,12,2,2,2
580,82,62,17,7,1,0
581,50,33,15,3,1,1
582,44,39,11,3,1,0
583,90,56,10,3,3,3
584,98,66,21,4,1,0
585,47,27,11,3,2,0
586,58,47,21,5,2,2
587,64,40,12,8,3,1
588,113,69,26,6,4,2
589,67,43,13,6,2,1
590,96,68,21,12,1,0
591,52,36,17,9,4,2
592,82,55,22,2,0,0
593,136,80,25,11,4,0
594,93,63,23,8,5,1
595,136,106,52,19,7,2
596,123,84,35,8,4,1
597,42,38,9,3,2,2
598,92,71,27,3,1,0
599,114,77,29,10,3,0
600,55,49,22,4,1,0
601,49,34,12,4,0,0
602,74,63,35,9,2,0
603,101,72,42,10,7,2
604,41,23,5,1,0,0
605,133,84,19,5,1,0
606,87,52,27,4,1,0
607,127,89,27,8,4,0
608,134,91,30,9,4,2
609,78,58,24,6,2,0
610,35,24,9,1,1,0
611,140,112,48,19,3,0
612,69,54,24,9,4,2
613,145,115,61,13,6,3
614,74,46,26,12,6,2
615,135,80,24,2,1,0
616,63,51,14,6,3,0
617,136,100,44,10,3,0
618,36,27,10,4,2,2
619,26,23,13,2,1,0
620,29,19,8,3,2,0
621,64,54,19,9,5,1
622,69,46,13,3,1,0
623,82,67,13,8,4,2
624,138,112,42,14,3,1
625,36,28,16,2,0,0
626,37,25,9,4,1,0
627,46,28,11,1,0,0
628,149,116,39,10,6,1
629,124,87,43,12,1,0
630,118,92,31,9,3,0
631,39,28,13,4,2,0
632,87,59,30,5,0,0
633,47,30,18,9,3,2
634,40,34,15,3,1,0
635,99,80,35,7,4,0
636,105,72,22,8,1,0
637,141,110,31,13,7,1
638,54,44,19,5,4,1
639,102,76,30,10,2,1
640,109,91,34,10,3,1
641,37,27,11,3,3,1
642,52,45,27,8,4,1
643,30,23,14,4,1,1
644,67,44,21,3,2,0
645,104,70,27,4,3,1
646,29,26,10,1,0,0
647,141,96,32,9,2,1
648,149,98,42,10,4,1
649,49,29,13,0,0,0
650,92,63,23,6,5,0
651,68,49,21,1,0,0
652,93,77,28,11,5,1
653,34,29,10,1,1,1
654,97,65,27,7,1,0
655,121,98,38,12,0,0
656,86,55,15,4,1,0
657,132,111,38,6,1,0
658,91,52,22,11,7,3
659,57,39,19,4,2,1
660,140,103,34,12,2,1
661,82,63,28,10,1,0
662,119,90,45,17,8,1
663,69,38,24,7,2,1
664,60,31,15,5,0,0
665,144,114,33,11,5,2
666,91,66,29,11,4,2
667,122,83,34,8,5,2
668,81,53,17,7,4,1
669,143,98,35,14,7,1
670,90,68,31,7,2,1
671,100,79,29,3,1,0
672,44,28,13,2,1,0
673,69,56,15,4,2,1
674,41,27,9,1,0,0
675,113,75,31,8,2,1
676,36,32,13,3,1,0
677,112,86,29,9,4,0
678,131,109,33,9,2,1
679,98,63,24,3,1,0
680,54,41,10,6,2,1
681,89,74,22,4,2,0
682,52,39,17,3,1,0
683,138,111,43,10,3,1
684,47,38,17,3,3,0
685,88,55,25,6,4,1
686,106,79,33,7,5,0
687,79,60,24,8,4,2
688,26,22,9,3,1,1
689,107,71,34,12,4,2
690,80,62,26,8,2,0
691,91,77,30,9,3,2
692,114,91,41,16,9,4
693,38,31,21,6,3,0
694,28,18,8,3,1,0
695,50,34,20,8,1,0
696,31,27,6,3,1,1
697,146,101,29,8,5,2
698,122,80,15,3,2,0
699,92,68,23,5,0,0
700,92,52,21,8,1,0
701,54,45,5,1,1,0
702,93,63,18,2,1,0
703,84,52,19,4,1,0
704,46,32,10,3,1,0
705,98,82,34,10,3,1
706,100,69,36,5,2,0
707,140,96,40,10,4,1
708,123,92,48,11,2,0
709,79,54,27,3,1,1
710,46,26,7,0,0,0
711,110,98,37,8,3,1
712,116,80,21,4,0,0
713,105,88,28,8,1,1
714,125,85,26,10,4,2
715,140,110,37,13,6,1
716,53,39,21,5,3,1
717,42,22,9,1,0,0
718,135,84,23,7,3,2
719,117,83,31,9,1,1
720,32,18,9,5,2,1
721,39,28,8,2,1,0
722,64,52,29,8,4,2
723,132,71,32,9,2,0
724,66,51,11,4,2,1
725,106,84,31,11,6,1
726,61,53,20,5,1,0
727,127,89,35,11,4,3
728,122,95,35,12,5,3
729,144,119,29,10,3,0
730,117,87,32,12,3,1
731,85,54,27,3,2,1
732,66,36,12,4,2,0
733,145,116,54,21,10,4
734,30,27,13,4,1,0
735,59,38,20,4,1,0
736,41,29,13,6,3,2
737,30,26,5,1,0,0
738,61,42,23,8,2,1
739,131,96,29,10,7,0
740,67,47,19,4,1,1
741,39,32,11,3,0,0
742,125,98,40,11,1,0
743,117,87,38,11,4,0
744,89,63,37,12,5,1
745,77,54,20,3,1,0
746,107,68,30,6,4,1
747,43,29,9,1,0,0
748,79,50,7,1,0,0
749,34,20,7,0,0,0
750,47,29,8,1,1,0
751,29,24,7,1,1,0
752,103,77,38,14,7,4
753,80,59,23,9,5,1
754,29,18,8,2,1,0
755,100,79,31,10,5,1
756,118,92,23,6,3,0
757,121,71,36,8,2,0
758,81,49,20,6,3,1
759,113,77,41,10,2,0
760,35,27,7,3,1,0
761,144,99,26,8,5,1
762,83,52,17,3,1,0
763,25,11,6,3,2,1
764,90,76,23,8,2,0
765,136,102,28,12,4,1
766,137,108,40,14,7,1
767,34,21,11,2,0,0
768,83,55,27,8,5,1
769,95,60,17,7,2,0
770,58,33,17,5,1,1
771,57,39,18,8,4,1
772,49,39,24,1,0,0
773,148,124,50,15,4,1
774,60,44,16,6,5,1
775,143,108,66,17,8,1
776,121,73,34,10,1,0
777,148,94,36,5,2,0
778,42,29,13,3,1,0
779,54,38,16,3,1,0
780,92,73,29,10,5,1
781,61,41,12,2,1,0
782,145,103,56,12,7,1
783,120,76,30,9,4,0
784,114,75,41,12,5,1
785,59,47,14,7,3,0
786,90,63,25,4,1,1
787,122,82,26,10,4,0
788,69,48,18,9,1,0
789,66,44,11,7,4,1
790,52,34,14,5,2,0
791,82,50,25,6,2,0
792,47,36,10,1,0,0
793,147,113,49,17,9,3
794,56,45,17,5,0,0
795,124,84,39,11,3,0
796,108,78,40,9,3,1
797,143,113,59,22,9,4
798,36,31,11,1,0,0
799,73,45,16,4,2,0
800,27,20,5,1,0,0
801,42,34,12,3,0,0
802,35,28,13,2,1,1
803,53,35,5,1,1,1
804,55,36,18,10,5,0
805,84,75,37,9,4,2
806,112,96,28,5,4,0
807,115,93,28,13,4,1
808,91,72,32,8,1,0
809,149,111,51,13,5,2
810,36,20,10,2,1,0
811,67,41,17,4,3,1
812,106,88,17,6,4,2
813,143,111,40,10,1,0
814,78,48,19,3,0,0
815,126,75,28,6,5,2
816,56,45,13,5,3,1
817,72,62,27,10,3,3
818,30,23,4,2,1,0
819,63,52,11,1,0,0
820,98,67,21,9,3,2
821,107,69,24,6,2,0
822,124,80,40,14,5,2
823,146,96,40,8,2,0
824,149,121,57,16,8,3
825,93,75,29,7,4,1
826,94,56,21,7,2,1
827,60,38,12,1,0,0
828,57,44,11,4,2,1
829,126,98,39,5,1,1
830,118,94,39,8,3,1
831,73,55,22,7,3,0
832,97,77,29,10,1,0
833,28,24,8,1,0,0
834,112,89,36,13,3,0
835,89,53,18,10,6,0
836,87,51,15,3,0,0
837,27,22,8,1,1,1
838,110,69,31,10,6,2
839,86,63,25,3,1,0
840,94,78,22,3,1,0
841,93,56,31,9,4,2
842,78,65,25,5,3,1
843,119,76,30,7,3,2
844,100,69,17,4,2,0
845,55,35,15,3,2,2
846,46,34,13,8,3,1
847,88,57,24,7,2,1
848,100,63,25,6,3,0
849,73,51,16,6,1,0
850,61,36,11,3,1,0
851,144,113,41,13,2,0
852,40,26,8,5,2,1
853,140,114,50,18,8,4
854,52,39,11,4,3,2
855,92,65,36,7,2,1
856,107,88,30,5,0,0
857,100,64,24,9,6,1
858,37,28,9,3,1,0
859,111,89,50,15,2,0
860,89,68,19,3,2,0
861,40,33,17,7,4,0
862,122,97,27,7,2,0
863,39,22,11,4,2,2
864,102,70,31,13,3,0
865,57,41,22,5,1,0
866,56,40,13,5,0,0
867,49,38,18,4,1,0
868,36,21,6,1,0,0
869,32,28,7,3,2,1
870,80,49,17,3,0,0
871,116,88,41,12,7,2
872,84,53,18,3,1,0
873,26,16,5,2,0,0
874,130,112,24,6,1,0
875,53,36,15,6,2,0
876,76,60,26,5,4,2
877,36,19,7,3,1,0
878,139,84,40,8,3,0
879,90,59,30,7,3,0
880,40,34,13,5,3,0
881,56,27,7,1,0,0
882,87,74,34,5,1,0
883,75,43,15,4,2,2
884,108,87,38,12,5,3
885,29,20,11,3,1,1
886,37,27,12,4,0,0
887,140,120,39,11,6,0
888,33,19,9,2,0,0
889,88,60,19,7,2,1
890,79,66,19,8,4,3
891,29,15,7,1,1,0
892,94,81,31,9,6,2
893,61,48,11,1,0,0
894,90,57,13,4,2,0
895,67,47,9,1,0,0
896,115,78,35,9,2,1
897,138,101,29,12,5,2
898,89,79,33,6,4,0
899,129,104,33,15,8,0
900,120,84,42,10,5,2
901,100,73,36,13,3,2
902,66,57,24,4,1,0
903,106,89,19,4,2,1
904,56,43,24,17,10,4
905,41,27,6,1,0,0
906,133,96,27,9,4,0
907,134,82,36,13,5,1
908,30,27,7,1,0,0
909,39,33,15,3,1,0
910,51,43,18,5,1,1
911,126,95,29,9,5,0
912,69,49,19,4,0,0
913,130,109,27,8,3,0
914,43,36,18,4,2,1
915,39,30,11,3,1,0
916,70,42,16,3,1,0
917,57,45,14,4,1,1
918,56,39,14,3,3,0
919,110,58,23,4,2,1
920,77,62,29,13,5,3
921,103,83,28,7,4,1
922,44,30,10,3,1,0
923,102,82,36,7,6,0
924,80,63,19,6,3,0
925,147,104,41,16,4,2
926,141,102,47,14,8,2
927,62,53,19,3,2,1
928,126,102,45,15,3,1
929,98,74,29,9,4,3
930,46,34,10,4,0,0
931,136,115,41,9,4,2
932,25,18,4,0,0,0
933,117,88,43,13,6,2
934,110,84,32,6,0,0
935,25,20,9,1,1,0
936,46,40,20,7,4,0
937,127,92,35,12,11,4
938,133,103,17,3,0,0
939,112,82,44,8,4,2
940,63,50,16,2,0,0
941,125,91,21,5,1,1
942,86,74,30,11,4,2
943,61,56,20,5,2,1
944,134,97,41,10,4,1
945,139,92,36,12,5,1
946,58,36,18,3,2,1
947,110,73,27,8,5,0
948,41,30,10,3,2,1
949,54,43,14,5,1,0
950,108,82,28,6,2,0
951,102,70,17,2,0,0
952,107,75,24,4,0,0
953,48,34,13,3,0,0
954,53,37,15,6,1,0
955,144,112,57,18,5,2
956,137,103,27,8,4,2
957,142,110,29,11,4,0
958,100,69,24,8,3,1
959,117,83,31,8,3,1
960,75,56,20,8,2,0
961,60,35,17,4,1,0
962,104,78,21,3,0,0
963,56,28,15,3,0,0
964,76,47,18,5,1,1
965,114,86,42,11,4,0
966,68,54,22,8,2,0
967,116,93,40,8,3,0
968,40,27,15,7,2,2
969,45,37,15,3,2,1
970,102,70,18,3,2,1
971,61,46,25,8,2,1
972,149,96,36,13,6,4
973,80,64,19,7,4,1
974,131,103,27,11,5,0
975,78,55,21,1,1,0
976,46,28,4,1,0,0
977,44,34,16,5,3,2
978,52,39,14,3,1,0
979,45,24,6,0,0,0
980,109,90,35,4,2,0
981,87,54,20,9,5,2
982,26,18,7,1,0,0
983,134,105,47,8,3,0
984,76,56,19,8,3,0
985,85,60,16,6,1,1
986,95,67,15,2,0,0
987,30,21,12,3,0,0
988,78,61,31,6,2,0
989,107,64,25,5,2,0
990,31,23,3,0,0,0
991,34,29,10,3,0,0
992,27,23,8,2,2,0
993,140,91,35,8,3,0
